ID;NMT;anio;mes;dia;LAEQ;LAS01;LAS10;LAS50;LAS90;LAS99;tipo_D;tipo_E;tipo_N;tipo_T;cluster
40513;2;2015;2;13;70.8;76.7;72.4;69.9;66.7;63.5;1.0;0.0;0.0;0.0;2
40514;2;2015;2;13;70.3;77.8;71.7;69.2;66.1;62.4;0.0;1.0;0.0;0.0;2
40515;2;2015;2;13;67.3;73.4;69.9;65.0;58.7;54.8;0.0;0.0;1.0;0.0;1
40516;2;2015;2;13;69.9;76.2;71.9;68.8;62.2;56.2;0.0;0.0;0.0;1.0;0
40637;2;2015;2;14;69.7;75.9;71.4;68.7;64.1;60.8;1.0;0.0;0.0;0.0;2
40638;2;2015;2;14;68.9;76.9;71.1;67.0;61.8;59.6;0.0;1.0;0.0;0.0;2
40639;2;2015;2;14;68.1;74.8;70.0;66.4;61.6;58.0;0.0;0.0;1.0;0.0;1
40640;2;2015;2;14;69.1;76.4;71.1;67.7;62.6;59.4;0.0;0.0;0.0;1.0;0
40761;2;2015;2;15;68.7;76.1;70.5;67.4;62.8;59.7;1.0;0.0;0.0;0.0;2
40762;2;2015;2;15;69.2;76.8;70.8;68.1;64.3;61.0;0.0;1.0;0.0;0.0;2
40763;2;2015;2;15;70.4;76.4;72.5;68.6;63.8;60.4;0.0;0.0;1.0;0.0;2
40764;2;2015;2;15;69.4;75.8;71.3;67.8;63.3;60.2;0.0;0.0;0.0;1.0;0
40882;2;2015;2;16;70.8;77.4;72.0;69.3;66.2;63.7;1.0;0.0;0.0;0.0;2
40883;2;2015;2;16;68.9;75.0;71.0;68.3;64.1;60.8;0.0;1.0;0.0;0.0;2
40884;2;2015;2;16;65.9;72.8;69.2;63.2;55.9;50.6;0.0;0.0;1.0;0.0;1
40885;2;2015;2;16;69.2;75.8;71.3;68.0;60.0;52.8;0.0;0.0;0.0;1.0;0
41006;2;2015;2;17;72.9;83.4;73.3;69.7;66.5;63.7;1.0;0.0;0.0;0.0;2
41007;2;2015;2;17;70.0;76.1;71.4;68.7;64.4;61.0;0.0;1.0;0.0;0.0;2
41008;2;2015;2;17;66.4;73.0;69.9;64.6;58.1;52.6;0.0;0.0;1.0;0.0;1
41009;2;2015;2;17;71.1;80.4;72.1;68.6;61.9;55.2;0.0;0.0;0.0;1.0;0
41130;2;2015;2;18;71.0;77.4;72.2;69.4;65.7;61.8;1.0;0.0;0.0;0.0;2
41131;2;2015;2;18;69.6;75.8;71.2;68.4;64.2;60.8;0.0;1.0;0.0;0.0;2
41132;2;2015;2;18;65.6;72.4;68.9;62.5;55.2;50.4;0.0;0.0;1.0;0.0;1
41133;2;2015;2;18;69.6;75.8;71.4;68.0;59.6;52.4;0.0;0.0;0.0;1.0;0
41254;2;2015;2;19;70.9;77.2;72.4;69.8;66.7;64.0;1.0;0.0;0.0;0.0;2
41255;2;2015;2;19;70.4;77.2;71.7;69.0;65.6;62.5;0.0;1.0;0.0;0.0;2
41256;2;2015;2;19;70.4;77.2;71.7;69.0;65.6;62.5;0.0;0.0;1.0;0.0;2
41257;2;2015;2;19;69.7;76.2;71.8;68.6;60.8;54.2;0.0;0.0;0.0;1.0;0
41378;2;2015;2;20;70.9;77.2;72.4;69.7;66.5;63.0;1.0;0.0;0.0;0.0;2
41379;2;2015;2;20;70.2;75.7;71.5;69.1;66.2;62.9;0.0;1.0;0.0;0.0;2
41380;2;2015;2;20;67.5;73.9;69.9;65.1;59.5;56.1;0.0;0.0;1.0;0.0;1
41381;2;2015;2;20;69.9;76.4;71.8;68.7;62.7;57.6;0.0;0.0;0.0;1.0;0
41502;2;2015;2;21;70.2;75.8;71.5;68.8;64.7;61.7;1.0;0.0;0.0;0.0;2
41503;2;2015;2;21;69.9;76.9;71.3;68.8;65.9;62.6;0.0;1.0;0.0;0.0;2
41504;2;2015;2;21;69.7;76.1;71.8;67.9;63.4;60.1;0.0;0.0;1.0;0.0;2
41505;2;2015;2;21;70.0;76.4;71.6;68.6;64.3;60.8;0.0;0.0;0.0;1.0;0
41626;2;2015;2;22;68.1;74.0;70.2;67.0;62.6;59.6;1.0;0.0;0.0;0.0;2
41627;2;2015;2;22;68.9;75.2;70.6;67.9;63.9;61.1;0.0;1.0;0.0;0.0;2
41628;2;2015;2;22;68.3;74.8;70.3;66.8;61.8;58.7;0.0;0.0;1.0;0.0;2
41629;2;2015;2;22;68.2;74.4;70.3;67.0;62.5;59.2;0.0;0.0;0.0;1.0;0
41750;2;2015;2;23;70.7;77.1;72.1;69.6;66.5;63.9;1.0;0.0;0.0;0.0;2
41751;2;2015;2;23;69.7;76.1;71.2;68.5;64.3;60.7;0.0;1.0;0.0;0.0;2
41752;2;2015;2;23;65.3;72.2;68.8;62.8;55.2;50.5;0.0;0.0;1.0;0.0;1
41753;2;2015;2;23;69.3;75.4;71.4;68.2;59.7;52.4;0.0;0.0;0.0;1.0;0
41874;2;2015;2;24;70.7;76.2;72.1;69.4;66.2;63.7;1.0;0.0;0.0;0.0;2
41875;2;2015;2;24;69.6;76.2;71.4;68.7;64.6;61.4;0.0;1.0;0.0;0.0;2
41876;2;2015;2;24;64.9;72.1;68.7;62.5;55.5;50.7;0.0;0.0;1.0;0.0;1
41877;2;2015;2;24;69.4;75.4;71.4;68.1;59.5;52.6;0.0;0.0;0.0;1.0;0
41998;2;2015;2;25;70.8;77.4;72.1;69.3;66.2;63.8;1.0;0.0;0.0;0.0;2
41999;2;2015;2;25;69.8;76.7;71.2;68.3;64.6;61.3;0.0;1.0;0.0;0.0;2
42000;2;2015;2;25;65.6;72.3;68.9;62.6;54.9;49.4;0.0;0.0;1.0;0.0;1
42001;2;2015;2;25;69.4;75.9;71.3;68.0;59.5;51.8;0.0;0.0;0.0;1.0;0
42122;2;2015;2;26;71.3;78.4;72.3;69.4;66.5;63.8;1.0;0.0;0.0;0.0;2
42123;2;2015;2;26;69.9;76.8;71.4;68.7;65.6;62.6;0.0;1.0;0.0;0.0;2
42124;2;2015;2;26;66.3;73.0;69.0;63.3;56.4;52.1;0.0;0.0;1.0;0.0;1
42125;2;2015;2;26;69.9;76.4;71.5;68.3;60.5;53.8;0.0;0.0;0.0;1.0;0
42246;2;2015;2;27;70.3;77.4;71.9;68.9;65.7;62.4;1.0;0.0;0.0;0.0;2
42247;2;2015;2;27;70.2;76.8;71.3;68.8;66.0;62.7;0.0;1.0;0.0;0.0;2
42248;2;2015;2;27;66.7;72.4;69.4;64.5;58.3;54.4;0.0;0.0;1.0;0.0;1
